Id,Label,node_type,term_type,term_name
GO:0007018,microtubule-based movement,annotation,go_term,microtubule-based movement
IPR036961,Kinesin motor domain superfamily,annotation,domain,Kinesin motor domain superfamily
IPR035914,"Spermadhesin, CUB domain superfamily",annotation,domain,"Spermadhesin, CUB domain superfamily"
GO:0048471,perinuclear region of cytoplasm,annotation,go_term,perinuclear region of cytoplasm
GO:0060271,cilium assembly,annotation,go_term,cilium assembly
IPR050405,Intermediate filament structural protein,annotation,domain,Intermediate filament structural protein
R-HSA-6804756,Regulation of TP53 Activity through Phosphorylation,annotation,pathway,Regulation of TP53 Activity through Phosphorylation
GO:0006355,GO annotation (biological process),annotation,go_term,GO annotation (biological process)
GO:0006816,calcium ion transport,annotation,go_term,calcium ion transport
IPR017975,"Tubulin, conserved site",annotation,domain,"Tubulin, conserved site"
GO:0005516,calmodulin binding,annotation,go_term,calmodulin binding
GO:0005543,phospholipid binding,annotation,go_term,phospholipid binding
GO:0017075,syntaxin-1 binding,annotation,go_term,syntaxin-1 binding
IPR010439,MUN domain,annotation,domain,MUN domain
R-HSA-9013106,RHOC GTPase cycle,annotation,pathway,RHOC GTPase cycle
GO:0070971,endoplasmic reticulum exit site,annotation,go_term,endoplasmic reticulum exit site
R-HSA-3371511,HSF1 activation,annotation,pathway,HSF1 activation
IPR041569,"AAA ATPase, AAA+ lid domain",annotation,domain,"AAA ATPase, AAA+ lid domain"
GO:0003677,DNA binding,annotation,go_term,DNA binding
GO:0005509,calcium ion binding,annotation,go_term,calcium ion binding
GO:0023026,MHC class II protein complex binding,annotation,go_term,MHC class II protein complex binding
GO:0005737,cytoplasm,annotation,go_term,cytoplasm
IPR005024,Snf7 family,annotation,domain,Snf7 family
IPR036859,CAP Gly-rich domain superfamily,annotation,domain,CAP Gly-rich domain superfamily
IPR000494,Receptor L-domain,annotation,domain,Receptor L-domain
IPR049328,"Epidermal growth factor receptor-like, transmembrane-juxtamembrane segment",annotation,domain,"Epidermal growth factor receptor-like, transmembrane-juxtamembrane segment"
IPR002013,SAC domain,annotation,domain,SAC domain
IPR035979,RNA-binding domain superfamily,annotation,domain,RNA-binding domain superfamily
GO:0005524,ATP binding,annotation,go_term,ATP binding
GO:0031175,neuron projection development,annotation,go_term,neuron projection development
IPR023415,"Low-density lipoprotein (LDL) receptor class A, conserved site",annotation,domain,"Low-density lipoprotein (LDL) receptor class A, conserved site"
GO:0005200,structural constituent of cytoskeleton,annotation,go_term,structural constituent of cytoskeleton
GO:0007409,axonogenesis,annotation,go_term,axonogenesis
GO:0019896,axonal transport of mitochondrion,annotation,go_term,axonal transport of mitochondrion
IPR039008,"Intermediate filament, rod domain",annotation,domain,"Intermediate filament, rod domain"
GO:0004674,protein serine/threonine kinase activity,annotation,go_term,protein serine/threonine kinase activity
GO:2000001,regulation of DNA damage checkpoint,annotation,go_term,regulation of DNA damage checkpoint
R-HSA-114608,Platelet degranulation ,annotation,pathway,Platelet degranulation 
IPR005455,"Profilin, eukaryotic type",annotation,domain,"Profilin, eukaryotic type"
GO:0005798,Golgi-associated vesicle,annotation,go_term,Golgi-associated vesicle
GO:0004985,G protein-coupled opioid receptor activity,annotation,go_term,G protein-coupled opioid receptor activity
GO:0019371,cyclooxygenase pathway,annotation,go_term,cyclooxygenase pathway
GO:1904751,positive regulation of protein localization to nucleolus,annotation,go_term,positive regulation of protein localization to nucleolus
IPR018152,"Superoxide dismutase, copper/zinc, binding site",annotation,domain,"Superoxide dismutase, copper/zinc, binding site"
IPR004839,"Aminotransferase, class I/classII, large domain",annotation,domain,"Aminotransferase, class I/classII, large domain"
IPR015422,"Pyridoxal phosphate-dependent transferase, small domain",annotation,domain,"Pyridoxal phosphate-dependent transferase, small domain"
R-HSA-9759194,Nuclear events mediated by NFE2L2,annotation,pathway,Nuclear events mediated by NFE2L2
GO:0005730,GO annotation (cellular component),annotation,go_term,GO annotation (cellular component)
GO:0000978,RNA polymerase II cis-regulatory region sequence-specific DNA binding,annotation,go_term,RNA polymerase II cis-regulatory region sequence-specific DNA binding
GO:0006915,apoptotic process,annotation,go_term,apoptotic process
R-HSA-2500257,Resolution of Sister Chromatid Cohesion,annotation,pathway,Resolution of Sister Chromatid Cohesion
R-HSA-389957,Prefoldin mediated transfer of substrate  to CCT/TriC,annotation,pathway,Prefoldin mediated transfer of substrate  to CCT/TriC
R-HSA-9609736,Assembly and cell surface presentation of NMDA receptors,annotation,pathway,Assembly and cell surface presentation of NMDA receptors
GO:0005525,GTP binding,annotation,go_term,GTP binding
R-HSA-9678110,Attachment and Entry,annotation,pathway,Attachment and Entry
GO:0051260,protein homooligomerization,annotation,go_term,protein homooligomerization
IPR000408,"Regulator of chromosome condensation, RCC1",annotation,domain,"Regulator of chromosome condensation, RCC1"
IPR059093,"Alsin, helical array domain",annotation,domain,"Alsin, helical array domain"
GO:0004519,endonuclease activity,annotation,go_term,endonuclease activity
IPR008157,Annexin A11,annotation,domain,Annexin A11
GO:1990756,ubiquitin-like ligase-substrate adaptor activity,annotation,go_term,ubiquitin-like ligase-substrate adaptor activity
GO:0004843,cysteine-type deubiquitinase activity,annotation,go_term,cysteine-type deubiquitinase activity
R-HSA-380284,Loss of proteins required for interphase microtubule organization from the centrosome,annotation,pathway,Loss of proteins required for interphase microtubule organization from the centrosome
IPR059265,"Dynactin subunit 1, DUF8221",annotation,domain,"Dynactin subunit 1, DUF8221"
GO:0003824,catalytic activity,annotation,go_term,catalytic activity
IPR000182,GNAT domain,annotation,domain,GNAT domain
IPR016245,"Tyrosine protein kinase, EGF/ERB/XmrK receptor",annotation,domain,"Tyrosine protein kinase, EGF/ERB/XmrK receptor"
GO:0003697,single-stranded DNA binding,annotation,go_term,single-stranded DNA binding
GO:0003727,single-stranded RNA binding,annotation,go_term,single-stranded RNA binding
GO:0005041,low-density lipoprotein particle receptor activity,annotation,go_term,low-density lipoprotein particle receptor activity
GO:0070840,dynein complex binding,annotation,go_term,dynein complex binding
GO:0099170,postsynaptic modulation of chemical synaptic transmission,annotation,go_term,postsynaptic modulation of chemical synaptic transmission
GO:0038003,G protein-coupled opioid receptor signaling pathway,annotation,go_term,G protein-coupled opioid receptor signaling pathway
GO:0043523,regulation of neuron apoptotic process,annotation,go_term,regulation of neuron apoptotic process
GO:0043524,negative regulation of neuron apoptotic process,annotation,go_term,negative regulation of neuron apoptotic process
GO:1904313,response to methamphetamine hydrochloride,annotation,go_term,response to methamphetamine hydrochloride
GO:0030170,pyridoxal phosphate binding,annotation,go_term,pyridoxal phosphate binding
IPR015424,Pyridoxal phosphate-dependent transferase,annotation,domain,Pyridoxal phosphate-dependent transferase
IPR053793,PB1-like domain,annotation,domain,PB1-like domain
R-HSA-167162,RNA Polymerase II HIV Promoter Escape,annotation,pathway,RNA Polymerase II HIV Promoter Escape
R-HSA-168928,DDX58/IFIH1-mediated induction of interferon-alpha/beta,annotation,pathway,DDX58/IFIH1-mediated induction of interferon-alpha/beta
IPR041087,"TANK binding kinase 1, ubiquitin-like domain",annotation,domain,"TANK binding kinase 1, ubiquitin-like domain"
IPR051180,Inhibitor of nuclear factor kappa-B kinase,annotation,domain,Inhibitor of nuclear factor kappa-B kinase
GO:0015085,calcium ion transmembrane transporter activity,annotation,go_term,calcium ion transmembrane transporter activity
R-HSA-190861,Gap junction assembly,annotation,pathway,Gap junction assembly
GO:0000226,microtubule cytoskeleton organization,annotation,go_term,microtubule cytoskeleton organization
GO:0005576,extracellular region,annotation,go_term,extracellular region
GO:0031595,nuclear proteasome complex,annotation,go_term,nuclear proteasome complex
GO:0061789,dense core granule priming,annotation,go_term,dense core granule priming
GO:0043195,terminal bouton,annotation,go_term,terminal bouton
IPR035892,C2 domain superfamily,annotation,domain,C2 domain superfamily
R-HSA-418990,Adherens junctions interactions,annotation,pathway,Adherens junctions interactions
GO:0001525,angiogenesis,annotation,go_term,angiogenesis
GO:0003779,actin binding,annotation,go_term,actin binding
IPR009604,LsmAD domain,annotation,domain,LsmAD domain
IPR010920,LSM domain superfamily,annotation,domain,LSM domain superfamily
IPR027819,Guanine nucleotide exchange factor C9orf72,annotation,domain,Guanine nucleotide exchange factor C9orf72
IPR004367,"Cyclin, C-terminal domain",annotation,domain,"Cyclin, C-terminal domain"
IPR055304,Coiled-coil-helix-coiled-coil-helix domain-containing protein 2/10-like,annotation,domain,Coiled-coil-helix-coiled-coil-helix domain-containing protein 2/10-like
GO:0006914,autophagy,annotation,go_term,autophagy
IPR022157,Dynein associated protein,annotation,domain,Dynein associated protein
GO:0051536,iron-sulfur cluster binding,annotation,go_term,iron-sulfur cluster binding
GO:0007417,central nervous system development,annotation,go_term,central nervous system development
IPR007197,Radical SAM,annotation,domain,Radical SAM
R-HSA-5673001,RAF/MAP kinase cascade,annotation,pathway,RAF/MAP kinase cascade
R-HSA-9664565,Signaling by ERBB2 KD Mutants,annotation,pathway,Signaling by ERBB2 KD Mutants
GO:0070050,neuron cellular homeostasis,annotation,go_term,neuron cellular homeostasis
R-HSA-1660514,Synthesis of PIPs at the Golgi membrane,annotation,pathway,Synthesis of PIPs at the Golgi membrane
IPR043573,Polyphosphoinositide phosphatase Fig4-like,annotation,domain,Polyphosphoinositide phosphatase Fig4-like
GO:0003730,mRNA 3'-UTR binding,annotation,go_term,mRNA 3'-UTR binding
GO:0016887,ATP hydrolysis activity,annotation,go_term,ATP hydrolysis activity
GO:0016020,membrane,annotation,go_term,membrane
IPR034930,"Matrin-3, RNA recognition motif 2",annotation,domain,"Matrin-3, RNA recognition motif 2"
GO:0036464,cytoplasmic ribonucleoprotein granule,annotation,go_term,cytoplasmic ribonucleoprotein granule
IPR051745,Intracellular Transport Effector,annotation,domain,Intracellular Transport Effector
GO:0071889,14-3-3 protein binding,annotation,go_term,14-3-3 protein binding
GO:0000774,adenyl-nucleotide exchange factor activity,annotation,go_term,adenyl-nucleotide exchange factor activity
IPR048278,Profilin,annotation,domain,Profilin
IPR027482,"Sec1-like, domain 2",annotation,domain,"Sec1-like, domain 2"
GO:0001147,transcription termination site sequence-specific DNA binding,annotation,go_term,transcription termination site sequence-specific DNA binding
GO:0003678,DNA helicase activity,annotation,go_term,DNA helicase activity
IPR041679,"DNA2/NAM7 helicase-like, C-terminal",annotation,domain,"DNA2/NAM7 helicase-like, C-terminal"
GO:0001516,prostaglandin biosynthetic process,annotation,go_term,prostaglandin biosynthetic process
R-HSA-3299685,Detoxification of Reactive Oxygen Species,annotation,pathway,Detoxification of Reactive Oxygen Species
IPR028103,Spatacsin,annotation,domain,Spatacsin
IPR000270,PB1 domain,annotation,domain,PB1 domain
R-HSA-76042,RNA Polymerase II Transcription Initiation And Promoter Clearance,annotation,pathway,RNA Polymerase II Transcription Initiation And Promoter Clearance
GO:0032418,lysosome localization,annotation,go_term,lysosome localization
IPR048511,"Transmembrane protein 106, N-terminal",annotation,domain,"Transmembrane protein 106, N-terminal"
GO:0007017,microtubule-based process,annotation,go_term,microtubule-based process
IPR037103,"Tubulin/FtsZ-like, C-terminal domain",annotation,domain,"Tubulin/FtsZ-like, C-terminal domain"
IPR006636,Heat shock chaperonin-binding,annotation,domain,Heat shock chaperonin-binding
R-HSA-9013408,RHOG GTPase cycle,annotation,pathway,RHOG GTPase cycle
IPR008962,PapD-like superfamily,annotation,domain,PapD-like superfamily
IPR016763,Vesicle-associated membrane-protein-associated protein,annotation,domain,Vesicle-associated membrane-protein-associated protein
