Id,Label,node_type,term_type,term_name
IPR043127,"Sec1-like, domain 3a",annotation,domain,"Sec1-like, domain 3a"
IPR045055,DNA2/NAM7-like helicase,annotation,domain,DNA2/NAM7-like helicase
GO:1905897,regulation of response to endoplasmic reticulum stress,annotation,go_term,regulation of response to endoplasmic reticulum stress
IPR001424,"Superoxide dismutase, copper/zinc binding domain",annotation,domain,"Superoxide dismutase, copper/zinc binding domain"
IPR024134,Superoxide dismutase (Cu/Zn)/superoxide dismutase copper chaperone,annotation,domain,Superoxide dismutase (Cu/Zn)/superoxide dismutase copper chaperone
R-HSA-1660661,Sphingolipid de novo biosynthesis,annotation,pathway,Sphingolipid de novo biosynthesis
R-HSA-209560,NF-kB is activated and signals survival,annotation,pathway,NF-kB is activated and signals survival
IPR043145,"Zinc finger, ZZ-type superfamily",annotation,domain,"Zinc finger, ZZ-type superfamily"
R-HSA-75953,RNA Polymerase II Transcription Initiation,annotation,pathway,RNA Polymerase II Transcription Initiation
GO:0005634,GO annotation (cellular component),annotation,go_term,GO annotation (cellular component)
R-HSA-1606341,IRF3 mediated activation of type 1 IFN,annotation,pathway,IRF3 mediated activation of type 1 IFN
R-HSA-3249367,STAT6-mediated induction of chemokines,annotation,pathway,STAT6-mediated induction of chemokines
R-HSA-3270619,IRF3-mediated induction of type I IFN,annotation,pathway,IRF3-mediated induction of type I IFN
R-HSA-9008059,Interleukin-37 signaling,annotation,pathway,Interleukin-37 signaling
GO:0000381,"regulation of alternative mRNA splicing, via spliceosome",annotation,go_term,"regulation of alternative mRNA splicing, via spliceosome"
GO:0015095,magnesium ion transmembrane transporter activity,annotation,go_term,magnesium ion transmembrane transporter activity
R-HSA-1445148,Translocation of SLC2A4 (GLUT4) to the plasma membrane,annotation,pathway,Translocation of SLC2A4 (GLUT4) to the plasma membrane
R-HSA-190840,Microtubule-dependent trafficking of connexons from Golgi to the plasma membrane,annotation,pathway,Microtubule-dependent trafficking of connexons from Golgi to the plasma membrane
R-HSA-5626467,RHO GTPases activate IQGAPs,annotation,pathway,RHO GTPases activate IQGAPs
IPR014770,Munc13 homology 1,annotation,domain,Munc13 homology 1
R-HSA-5678895,Defective CFTR causes cystic fibrosis,annotation,pathway,Defective CFTR causes cystic fibrosis
R-HSA-9013149,RAC1 GTPase cycle,annotation,pathway,RAC1 GTPase cycle
IPR009091,Regulator of chromosome condensation 1/beta-lactamase-inhibitor protein II,annotation,domain,Regulator of chromosome condensation 1/beta-lactamase-inhibitor protein II
GO:0005154,epidermal growth factor receptor binding,annotation,go_term,epidermal growth factor receptor binding
IPR047575,Sm domain,annotation,domain,Sm domain
GO:0000082,G1/S transition of mitotic cell cycle,annotation,go_term,G1/S transition of mitotic cell cycle
R-HSA-9615710,Late endosomal microautophagy,annotation,pathway,Late endosomal microautophagy
GO:0005770,late endosome,annotation,go_term,late endosome
IPR006181,"D-amino acid oxidase, conserved site",annotation,domain,"D-amino acid oxidase, conserved site"
R-HSA-6807878,COPI-mediated anterograde transport,annotation,pathway,COPI-mediated anterograde transport
GO:0002926,tRNA wobble base 5-methoxycarbonylmethyl-2-thiouridinylation,annotation,go_term,tRNA wobble base 5-methoxycarbonylmethyl-2-thiouridinylation
R-HSA-6811558,"PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling",annotation,pathway,"PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling"
IPR032778,Growth factor receptor domain 4,annotation,domain,Growth factor receptor domain 4
